Base Ecosystem Summary Details 
 
Script : 'eco_area_v2' 
2015-09-10 16:16:10.355000
 
INPUTS 
Base Ecosystem Raster : 'W:/Visionmaker_final_working_files_edits/VM_Final_Files/VM_final_base_ecosystems_10m.tif' 
FAR Raster : 'W:/Visionmaker_final_working_files_edits/VM_Final_Files/VM_final_FAR_10m.tif' 
Region Group Raster : 'W:/Visionmaker_validation/base_eco_statistics/eco_count/10m_reggrp' 
Grid Resolution : '10' m sq 
 
  ECO ID    COUNT    FOOTPRINT AREA    FLOOR AREA
--------  -------  ----------------  ------------
       1     2133       3.23838e+08     323839400
       2        0       0                       0
       3     1631       5.0828e+06        5082800
       5     4128       4.0973e+06        4097300
       6     3949       1.7961e+06        1796100
       7        0       0                       0
       8      960       2.899e+06         2899000
       9    11295       1.95517e+07      19551700
      10     1945       1.9453e+06        1945300
      11     9792       5.4323e+06        5432300
      12    10369       3.10788e+07      31078800
      13     8047       1.35723e+07      13572300
      14      746  128900                  128900
      15        0       0                       0
      16        3   44500                   44500
      17      599   89800                  104800
      18   135876       2.97339e+07      56456700
      19   155984       6.43297e+07     271221700
      20     8557       5.5839e+06        8916600
      21     6537       4.1435e+06       25550000
      22    11906       2.8228e+06        8080000
      23     2121  755400                 2197100
      24      638  335800                 2563100
      25     2350       2.2785e+06       13999300
      26     3620       5.7717e+06       23053000
      27     3847       4.9914e+06        9343800
      28     8522       4.8368e+06       11849400
      29     5519       8.8459e+06       16541300
      30       92  142400                 1215800
      32       54   26700                   31700
      33    56878       1.03097e+07      13401100
      34       74  265800                 1162500
      35        0       0                       0
      36        0       0                       0
      37        0       0                       0
      38        0       0                       0
      39     9781       1.625e+06         1625000
      40   147940       8.25371e+07      82537100
      41     8877       1.9583e+07       19583000
      43     6916       1.14644e+07      11464400
      44    31054       8.9708e+06        8970800
      45   365431       1.2091e+08      120910000
      46        0       0                       0
      47        0       0                       0
      48        0       0                       0
      49    21576       2.83555e+07      28355500
      50      131       9.523e+06         9523000
      51     3887  999500                 3433000
      52        0       0                       0
      53        0       0                       0
      54   490992       8.8129e+07       88129000
      55     1053  842500                  842500
      56        0       0                       0
      57   257928       5.37518e+07      53751800
      58    52890       3.94048e+07      39404800
      59     5377  681900                  681900
      60     1984       1.5667e+06        1566700
      61      348       1.53893e+07      15389300
      62        0       0                       0
      63       18    8500                   10800
      64      299  300800                  867800
      65       20   29100                   58900
      66        0       0                       0
      67      170  127800                  456600
      68      103   97000                  473700
      69        1     100                     100
      70       30    3000                    3000
      71        0       0                       0
      72       39   71200                  360200
      73        0       0                       0
      74     1355       1.0017e+06        2795700
      75      788  162100                  175700
      76        0       0                       0
      77      209  156200                  156200
      78     2301       5.7907e+06        5790700
      79        0       0                       0
      80        0       0                       0
      82     1619  425800                  910300
      84        0       0                       0
      85        0       0                       0
      87      242  109700                  109700
      88       84   41100                   41100
      89        0       0                       0
      90    88286       2.33331e+07      23333100
      91       50  356600                  907300
      92      371  129200                  146800
      93     3613       3.657e+06        10481500
      94     9270       4.0528e+06       39943200
      95     1991       3.4127e+06       55024500
      96      337       3.31714e+08     331713700
      97     2149       9.8515e+06        9851500
      98     2944       8.708e+06         8708000
